tweet_id,clean_tweet,user_id,lat,long,city,country,state,state_code,political_label,label_score,stance
1.3165608476663726e+18,la toppa peggio del buco ora rivolta contro i social contro trump,122733775.0,28.5977707,-81.35102640000001,,United States of America,Florida,FL,Social Security,0.4643680453300476,the author does not express a clear stance on Social Security
1.3167763342748426e+18,amp trump are out doing everything humanly possible going after social security and you are posting this tripe seriously why arent you talking about what you are dong to stop it btw get back to me when you are fighting them on this front and ill actually join,14836408.0,30.3321838,-81.655651,Jacksonville,United States of America,Florida,FL,Social Security,0.9183834195137024,the author does not express a clear stance on Social Security
1.316925674804908e+18,in 2016 promised to protect socialsecurity but at a march 5th townhall when asked what hed do about entitlements if reelected he said well be cutting tom conway details the dangers a 2nd trump term poses to ss here,26350255.0,34.0536909,-118.242766,Los Angeles,United States of America,California,CA,Social Security,0.7553743720054626,the author does not express a clear stance on Social Security
1.3171115119874785e+18,yes trumps proposed permanent tax cut would gut socialsecurity by 2023 via,22950604.0,40.0757384,-74.4041622,,United States of America,New Jersey,NJ,Social Security,0.6549094319343567,the author does not express a clear stance on Social Security
1.3171337417315983e+18,is he going to tell them he planned to rob socialsecurity to pay for his autographed prescription cards he wanted to send them that he was willing to farther jeopardize most of their retirement incomes for a political stunt seniors are on to trump vote bidenharris2020,29154355.0,29.6519684,-82.3249846,Gainesville,United States of America,Florida,FL,Social Security,0.7950295805931091,the author does not express a clear stance on Social Security
1.317140511354925e+18,i really wish somebody would talk more about social security and trump cutting the payroll tax permanent that will end social security and medicare which will effect most all seniors regardless of party,2506268300.0,37.5726028,-85.1551411,,United States of America,Kentucky,KY,Social Security,0.8350732922554016,the author does not express a clear stance on Social Security
1.3171716621865656e+18,herdimmunity might work very well for trump and the gop it could free up money from socialsecurity since seniors are at the highest risk for dying from covid19,40522228.0,40.6130404,-73.9095813,New York,United States of America,New York,NY,Social Security,0.8939319252967834,the author does not express a clear stance on Social Security
1.3171776416826982e+18,folks this is simply false look it up trump constantly cuts social security in his budgets facts trump socialsecurity,86224590.0,37.7790262,-122.4199061,San Francisco,United States of America,California,CA,Social Security,0.8976914286613464,the author does not express a clear stance on Social Security
1.3172043516564234e+18,by trying to omit the fica payroll tax thereby ensuring the socialsecurity funds will dry up within 2 years thats the gop and trump plan,7.240125605345075e+17,21.304547,-157.8556764,Honolulu,United States of America,Hawaii,HI,Social Security,0.7094475626945496,the author opposes Social Security or supports cutting Social Security benefits
1.3172742055164314e+18,rick gaetz will lie for trump because if florida knew trump and the republicans are planning to end social security by 2023 they would lose florida,33407966.0,27.9477595,-82.458444,Tampa,United States of America,Florida,FL,Social Security,0.737910270690918,the author does not express a clear stance on Social Security
